INFO buildroot.py:348:  Mock Version: 1.4.8
DEBUG util.py:110:  ensuring that dir exists: /share/dev/mock/dev/pts
DEBUG util.py:113:  creating dir: /share/dev/mock/dev/pts
DEBUG util.py:110:  ensuring that dir exists: /share/dev/mock/dev/shm
DEBUG util.py:113:  creating dir: /share/dev/mock/dev/shm
DEBUG buildroot.py:479:  kernel version == 4.9.77-ck1
DEBUG util.py:123:  touching file: /share/dev/mock/etc/fstab
DEBUG util.py:123:  touching file: /share/dev/mock/etc/yum/yum.conf
DEBUG util.py:123:  touching file: /share/dev/mock/etc/dnf/dnf.conf
DEBUG util.py:123:  touching file: /share/dev/mock/var/log/yum.log
DEBUG util.py:110:  ensuring that dir exists: /share/dev/mock/var/cache/dnf/
DEBUG util.py:636:  child environment: None
DEBUG util.py:562:  Executing command: ['/bin/mount', '-n', '--bind', '/var/cache/mock/mageia-cauldron-x86_64/dnf_cache/', '/share/dev/mock/var/cache/dnf/'] with env {'TERM': 'vt100', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'SHELL': '/bin/sh', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'en_US.UTF-8'} and shell False
DEBUG util.py:617:  Child return code was: 0
DEBUG buildroot.py:142:  rootdir = /share/dev/mock
DEBUG buildroot.py:143:  resultdir = mock
DEBUG util.py:110:  ensuring that dir exists: /share/dev/mock/etc/pki/mock
DEBUG util.py:110:  ensuring that dir exists: /share/dev/mock/etc/dnf
DEBUG util.py:636:  child environment: None
DEBUG util.py:562:  Executing command: ['/usr/bin/systemd-nspawn', '-q', '-M', 'abe164607c5e4908befe0d6ddf323826', '-D', '/share/dev/mock', '-a', '--setenv=TERM=vt100', '--setenv=PS1=<mock-chroot> \\s-\\v\\$ ', '--setenv=LANG=en_US.UTF-8', '--setenv=HOSTNAME=mock', '--setenv=PROMPT_COMMAND=printf "\\033]0;<mock-chroot>\\007"', '--setenv=HOME=/builddir', '--setenv=SHELL=/bin/bash', '--setenv=PATH=/usr/bin:/bin:/usr/sbin:/sbin', '/usr/sbin/userdel', '-r', '-f', 'mockbuild'] with env {'TERM': 'vt100', 'PS1': '<mock-chroot> \\s-\\v\\$ ', 'LANG': 'en_US.UTF-8', 'HOSTNAME': 'mock', 'PROMPT_COMMAND': 'printf "\\033]0;<mock-chroot>\\007"', 'HOME': '/builddir', 'SHELL': '/bin/bash', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin'} and shell False
DEBUG util.py:317:  Unsharing. Flags: 134217728
DEBUG util.py:479:  userdel: mockbuild mail spool (/var/spool/mail/mockbuild) not found
DEBUG util.py:617:  Child return code was: 0
DEBUG util.py:636:  child environment: None
DEBUG util.py:562:  Executing command: ['/usr/bin/systemd-nspawn', '-q', '-M', 'f1c3af0804104586817f60e066d8f44f', '-D', '/share/dev/mock', '-a', '--setenv=TERM=vt100', '--setenv=PS1=<mock-chroot> \\s-\\v\\$ ', '--setenv=LANG=en_US.UTF-8', '--setenv=HOSTNAME=mock', '--setenv=PROMPT_COMMAND=printf "\\033]0;<mock-chroot>\\007"', '--setenv=HOME=/builddir', '--setenv=SHELL=/bin/bash', '--setenv=PATH=/usr/bin:/bin:/usr/sbin:/sbin', '/usr/sbin/groupdel', 'mock'] with env {'TERM': 'vt100', 'PS1': '<mock-chroot> \\s-\\v\\$ ', 'LANG': 'en_US.UTF-8', 'HOSTNAME': 'mock', 'PROMPT_COMMAND': 'printf "\\033]0;<mock-chroot>\\007"', 'HOME': '/builddir', 'SHELL': '/bin/bash', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin'} and shell False
DEBUG util.py:317:  Unsharing. Flags: 134217728
DEBUG util.py:617:  Child return code was: 0
DEBUG util.py:636:  child environment: None
DEBUG util.py:562:  Executing command: ['/usr/bin/systemd-nspawn', '-q', '-M', '95d4d3d06cc64246b9632ad9d215935e', '-D', '/share/dev/mock', '-a', '--setenv=TERM=vt100', '--setenv=PS1=<mock-chroot> \\s-\\v\\$ ', '--setenv=LANG=en_US.UTF-8', '--setenv=HOSTNAME=mock', '--setenv=PROMPT_COMMAND=printf "\\033]0;<mock-chroot>\\007"', '--setenv=HOME=/builddir', '--setenv=SHELL=/bin/bash', '--setenv=PATH=/usr/bin:/bin:/usr/sbin:/sbin', '/usr/sbin/groupadd', '-g', '135', 'mock'] with env {'TERM': 'vt100', 'PS1': '<mock-chroot> \\s-\\v\\$ ', 'LANG': 'en_US.UTF-8', 'HOSTNAME': 'mock', 'PROMPT_COMMAND': 'printf "\\033]0;<mock-chroot>\\007"', 'HOME': '/builddir', 'SHELL': '/bin/bash', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin'} and shell False
DEBUG util.py:317:  Unsharing. Flags: 134217728
DEBUG util.py:617:  Child return code was: 0
DEBUG util.py:636:  child environment: None
DEBUG util.py:562:  Executing command: ['/usr/bin/systemd-nspawn', '-q', '-M', '4279b3a490504385b024a8f1ebd3200b', '-D', '/share/dev/mock', '-a', '--setenv=TERM=vt100', '--setenv=PS1=<mock-chroot> \\s-\\v\\$ ', '--setenv=LANG=en_US.UTF-8', '--setenv=HOSTNAME=mock', '--setenv=PROMPT_COMMAND=printf "\\033]0;<mock-chroot>\\007"', '--setenv=HOME=/builddir', '--setenv=SHELL=/bin/bash', '--setenv=PATH=/usr/bin:/bin:/usr/sbin:/sbin', '/usr/sbin/useradd', '-o', '-m', '-u', '1000', '-g', '135', '-d', '/builddir', 'mockbuild'] with env {'TERM': 'vt100', 'PS1': '<mock-chroot> \\s-\\v\\$ ', 'LANG': 'en_US.UTF-8', 'HOSTNAME': 'mock', 'PROMPT_COMMAND': 'printf "\\033]0;<mock-chroot>\\007"', 'HOME': '/builddir', 'SHELL': '/bin/bash', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin'} and shell False
DEBUG util.py:317:  Unsharing. Flags: 134217728
DEBUG util.py:617:  Child return code was: 0
DEBUG util.py:110:  ensuring that dir exists: /share/dev/mock/builddir/build/RPMS
DEBUG util.py:113:  creating dir: /share/dev/mock/builddir/build/RPMS
DEBUG util.py:110:  ensuring that dir exists: /share/dev/mock/builddir/build/SPECS
DEBUG util.py:113:  creating dir: /share/dev/mock/builddir/build/SPECS
DEBUG util.py:110:  ensuring that dir exists: /share/dev/mock/builddir/build/SRPMS
DEBUG util.py:113:  creating dir: /share/dev/mock/builddir/build/SRPMS
DEBUG util.py:110:  ensuring that dir exists: /share/dev/mock/builddir/build/SOURCES
DEBUG util.py:113:  creating dir: /share/dev/mock/builddir/build/SOURCES
DEBUG util.py:110:  ensuring that dir exists: /share/dev/mock/builddir/build/BUILD
DEBUG util.py:113:  creating dir: /share/dev/mock/builddir/build/BUILD
DEBUG util.py:110:  ensuring that dir exists: /share/dev/mock/builddir/build/BUILDROOT
DEBUG util.py:113:  creating dir: /share/dev/mock/builddir/build/BUILDROOT
DEBUG util.py:110:  ensuring that dir exists: /share/dev/mock/builddir/build/originals
DEBUG util.py:113:  creating dir: /share/dev/mock/builddir/build/originals
DEBUG util.py:110:  ensuring that dir exists: /share/dev/mock/proc
DEBUG util.py:636:  child environment: None
DEBUG util.py:562:  Executing command: ['/bin/mount', '-n', '-t', 'proc', 'proc', '/share/dev/mock/proc'] with env {'TERM': 'vt100', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'SHELL': '/bin/sh', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'en_US.UTF-8'} and shell False
DEBUG util.py:617:  Child return code was: 0
DEBUG util.py:110:  ensuring that dir exists: /share/dev/mock/sys
DEBUG util.py:636:  child environment: None
DEBUG util.py:562:  Executing command: ['/bin/mount', '-n', '-t', 'sysfs', 'sysfs', '/share/dev/mock/sys'] with env {'TERM': 'vt100', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'SHELL': '/bin/sh', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'en_US.UTF-8'} and shell False
DEBUG util.py:617:  Child return code was: 0
DEBUG util.py:110:  ensuring that dir exists: /share/dev/mock/dev/shm
DEBUG util.py:636:  child environment: None
DEBUG util.py:562:  Executing command: ['/bin/mount', '-n', '-t', 'tmpfs', 'tmpfs', '/share/dev/mock/dev/shm'] with env {'TERM': 'vt100', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'SHELL': '/bin/sh', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'en_US.UTF-8'} and shell False
DEBUG util.py:617:  Child return code was: 0
DEBUG util.py:110:  ensuring that dir exists: /share/dev/mock/dev/pts
DEBUG util.py:636:  child environment: None
DEBUG util.py:562:  Executing command: ['/bin/mount', '-n', '-t', 'devpts', '-o', 'gid=5,mode=0620,ptmxmode=0666,newinstance', 'devpts', '/share/dev/mock/dev/pts'] with env {'TERM': 'vt100', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'SHELL': '/bin/sh', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'en_US.UTF-8'} and shell False
DEBUG util.py:617:  Child return code was: 0
DEBUG package_manager.py:111:  ['/usr/bin/dnf', '--installroot', '/share/dev/mock/', '-y', '--releasever', '7', '--disableplugin=local', '--setopt=deltarpm=False', 'update']
DEBUG util.py:636:  child environment: None
DEBUG util.py:562:  Executing command: ['/usr/bin/dnf', '--installroot', '/share/dev/mock/', '-y', '--releasever', '7', '--disableplugin=local', '--setopt=deltarpm=False', 'update'] with env {'TERM': 'vt100', 'PS1': '<mock-chroot> \\s-\\v\\$ ', 'LANG': 'en_US.UTF-8', 'HOSTNAME': 'mock', 'PROMPT_COMMAND': 'printf "\\033]0;<mock-chroot>\\007"', 'HOME': '/builddir', 'LC_MESSAGES': 'C', 'SHELL': '/bin/bash', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin'} and shell False
DEBUG util.py:479:  Failed to synchronize cache for repo 'mageia-cauldron', disabling.
DEBUG util.py:479:  Dependencies resolved.
DEBUG util.py:479:  Nothing to do.
DEBUG util.py:479:  Complete!
DEBUG util.py:617:  Child return code was: 0
DEBUG util.py:636:  child environment: None
DEBUG util.py:562:  Executing command: ['/bin/umount', '-n', '-l', '/share/dev/mock/dev/pts'] with env {'TERM': 'vt100', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'SHELL': '/bin/sh', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'en_US.UTF-8'} and shell False
DEBUG util.py:617:  Child return code was: 0
DEBUG util.py:636:  child environment: None
DEBUG util.py:562:  Executing command: ['/bin/umount', '-n', '-l', '/share/dev/mock/dev/shm'] with env {'TERM': 'vt100', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'SHELL': '/bin/sh', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'en_US.UTF-8'} and shell False
DEBUG util.py:617:  Child return code was: 0
DEBUG util.py:636:  child environment: None
DEBUG util.py:562:  Executing command: ['/bin/umount', '-n', '-l', '/share/dev/mock/sys'] with env {'TERM': 'vt100', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'SHELL': '/bin/sh', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'en_US.UTF-8'} and shell False
DEBUG util.py:617:  Child return code was: 0
DEBUG util.py:636:  child environment: None
DEBUG util.py:562:  Executing command: ['/bin/umount', '-n', '-l', '/share/dev/mock/proc'] with env {'TERM': 'vt100', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'SHELL': '/bin/sh', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'en_US.UTF-8'} and shell False
DEBUG util.py:617:  Child return code was: 0
DEBUG util.py:123:  touching file: /share/dev/mock/.initialized
DEBUG buildroot.py:367:  removing 3 rpm db files
DEBUG buildroot.py:372:  nuke_rpm_db: removing /share/dev/mock/var/lib/rpm/__db.001
DEBUG buildroot.py:372:  nuke_rpm_db: removing /share/dev/mock/var/lib/rpm/__db.002
DEBUG buildroot.py:372:  nuke_rpm_db: removing /share/dev/mock/var/lib/rpm/__db.003
DEBUG util.py:636:  child environment: None
DEBUG util.py:562:  Executing command: ['/usr/bin/systemd-nspawn', '-q', '-M', '2c600df151fc4784b8f017f91916f32f', '-D', '/share/dev/mock', '-a', '--setenv=TERM=vt100', '--setenv=PS1=<mock-chroot> \\s-\\v\\$ ', '--setenv=LANG=en_US.UTF-8', '--setenv=HOSTNAME=mock', '--setenv=PROMPT_COMMAND=printf "\\033]0;<mock-chroot>\\007"', '--setenv=HOME=/builddir', '--setenv=SHELL=/bin/bash', '--setenv=PATH=/usr/bin:/bin:/usr/sbin:/sbin', '-u', 'mockbuild', '/bin/rpm', '-Uvh', '--nodeps', '/builddir/build/originals/R-base-3.4.3-1.mga7.src.rpm'] with env {'TERM': 'vt100', 'PS1': '<mock-chroot> \\s-\\v\\$ ', 'LANG': 'en_US.UTF-8', 'HOSTNAME': 'mock', 'PROMPT_COMMAND': 'printf "\\033]0;<mock-chroot>\\007"', 'HOME': '/builddir', 'SHELL': '/bin/bash', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin'} and shell False
DEBUG util.py:317:  Unsharing. Flags: 1073741824
DEBUG util.py:317:  Unsharing. Flags: 134217728
DEBUG util.py:479:  Updating / installing...
DEBUG util.py:479:  R-base-3.4.3-1.mga7                   warning: user stig does not exist - using root
DEBUG util.py:479:  warning: group stig does not exist - using root
DEBUG util.py:479:  warning: user stig does not exist - using root
DEBUG util.py:479:  warning: group stig does not exist - using root
DEBUG util.py:479:  warning: user stig does not exist - using root
DEBUG util.py:479:  warning: group stig does not exist - using root
DEBUG util.py:479:  warning: user stig does not exist - using root
DEBUG util.py:479:  warning: group stig does not exist - using root
DEBUG util.py:479:  ########################################
DEBUG util.py:479:  warning: user stig does not exist - using root
DEBUG util.py:479:  warning: group stig does not exist - using root
DEBUG util.py:479:  warning: user stig does not exist - using root
DEBUG util.py:479:  warning: group stig does not exist - using root
DEBUG util.py:479:  warning: user stig does not exist - using root
DEBUG util.py:479:  warning: group stig does not exist - using root
DEBUG util.py:479:  warning: user stig does not exist - using root
DEBUG util.py:479:  warning: group stig does not exist - using root
DEBUG util.py:617:  Child return code was: 0
DEBUG util.py:636:  child environment: None
